zipcode,centile,superzip,rank,city.x,state.x,adultpop,households,college,income,latitude,longitude,county,cpi_and_rent_index,cpi_index,crime_index,groceries_index,health_care_index,pollution_index,property_price_to_income_ratio,purchasing_power_incl_rent_index,quality_of_life_index,rent_index,restaurant_price_index,traffic_co2_index,traffic_index,traffic_inefficiency_index,traffic_time_index
1060,85.23329,0,2185,Northampton,MA,10508,2740,0.5202703,72.37566,42.415154,-72.76927,Hampshire,100,141,90.5,321,56,258,152,43,68,385,295.5,82.5,281,246,285
1103,12.41968,0,19285,Springfield,MA,1803,563,0.2484748,20.98044,42.103044,-72.590783,Hampden,100,141,467,321,56,258,123,43,68,242,353,82.5,281,246,285
1104,19.01631,0,16803,Springfield,MA,14338,5555,0.1210769,49.85225,42.128605,-72.567966,Hampden,100,141,467,321,56,258,123,43,68,242,353,82.5,281,246,285
1105,0.6080396,0,23704,Springfield,MA,7393,2785,0.0854863,22.91961,42.099793,-72.577732,Hampden,100,141,467,321,56,258,123,43,68,242,353,82.5,281,246,285
1107,1.506892,0,23434,Springfield,MA,5899,2631,0.0827259,28.80643,42.126237,-72.586733,Hampden,100,141,467,321,56,258,123,43,68,242,353,82.5,281,246,285
1108,35.24337,0,11775,Springfield,MA,15429,6108,0.2148551,47.0736,42.080594,-72.558081,Hampden,100,141,467,321,56,258,123,43,68,242,353,82.5,281,246,285
1109,9.321872,0,20451,Springfield,MA,16326,6888,0.1103148,41.1554,42.119293,-72.548981,Hampden,100,141,467,321,56,258,123,43,68,242,353,82.5,281,246,285
1118,66.06667,0,5122,Springfield,MA,9689,4009,0.2722675,73.07653,42.093894,-72.523227,Hampden,100,141,467,321,56,258,123,43,68,242,353,82.5,281,246,285
1119,37.90415,0,11064,Springfield,MA,7725,3277,0.1576699,59.32843,42.124943,-72.526705,Hampden,100,141,467,321,56,258,123,43,68,242,353,82.5,281,246,285
1128,58.4069,0,6494,Springfield,MA,2090,824,0.1617225,80.79137,42.094616,-72.487229,Hampden,100,141,467,321,56,258,123,43,68,242,353,82.5,281,246,285
1129,50.33781,0,8154,Springfield,MA,4765,1899,0.1756558,68.24103,42.124485,-72.489479,Hampden,100,141,467,321,56,258,123,43,68,242,353,82.5,281,246,285
1201,49.19785,0,8420,Pittsfield,MA,33416,12341,0.2102586,60.92893,42.479475,-73.24807,Berkshire,99,119,354,270,72.5,187.5,53,148,22,180,392,121,103,108,87
1602,76.16861,0,3567,Worcester,MA,15738,5992,0.3708858,74.49136,42.274595,-71.846966,Worcester,135,168,212,335,163.5,187.5,234,38,74,388,513,47,50,75,83.5
1603,33.28073,0,12298,Worcester,MA,11254,4200,0.1417274,57.97375,42.245442,-71.839257,Worcester,135,168,212,335,163.5,187.5,234,38,74,388,513,47,50,75,83.5
1604,47.52397,0,8791,Worcester,MA,23498,8084,0.2141884,58.53602,42.247955,-71.76678,Worcester,135,168,212,335,163.5,187.5,234,38,74,388,513,47,50,75,83.5
1605,31.34513,0,12899,Worcester,MA,15279,5706,0.2080633,44.94221,42.288792,-71.796128,Worcester,135,168,212,335,163.5,187.5,234,38,74,388,513,47,50,75,83.5
1606,59.00384,0,6376,Worcester,MA,13994,4966,0.2402458,67.9952,42.311834,-71.794465,Worcester,135,168,212,335,163.5,187.5,234,38,74,388,513,47,50,75,83.5
1607,10.63111,0,19931,Worcester,MA,4812,1887,0.1039069,43.85036,42.226452,-71.792506,Worcester,135,168,212,335,163.5,187.5,234,38,74,388,513,47,50,75,83.5
1608,2.589489,0,23067,Worcester,MA,1710,729,0.1473684,21.91014,42.293501,-71.925696,Worcester,135,168,212,335,163.5,187.5,234,38,74,388,513,47,50,75,83.5
1609,70.37096,0,4437,Worcester,MA,11661,3855,0.3594031,65.60883,42.282565,-71.827685,Worcester,135,168,212,335,163.5,187.5,234,38,74,388,513,47,50,75,83.5
1610,10.16704,0,20121,Worcester,MA,11722,4327,0.1244668,39.72881,42.246483,-71.808915,Worcester,135,168,212,335,163.5,187.5,234,38,74,388,513,47,50,75,83.5
1930,68.2868,0,4771,Gloucester,MA,21598,7912,0.2749329,76.44099,42.630011,-70.694179,Essex,124,131,39,308,24,187.5,139,6,26,366.5,361,82.5,68,63,51.5
2108,99.96086,1,13,Boston,MA,2874,592,0.7251218,229.9284,42.353806,-71.102446,Suffolk,165,155,194,269,98,141,380,120,48,570,534,235,252,252,252
2109,97.23901,1,451,Boston,MA,3080,634,0.6594156,122.1246,42.360027,-71.054495,Suffolk,165,155,194,269,98,141,380,120,48,570,534,235,252,252,252
2110,99.31499,1,117,Boston,MA,1246,309,0.7672552,159.1598,42.352847,-71.051466,Suffolk,165,155,194,269,98,141,380,120,48,570,534,235,252,252,252
2111,22.07605,0,15777,Boston,MA,3634,925,0.2479362,30.49192,42.351047,-71.059365,Suffolk,165,155,194,269,98,141,380,120,48,570,534,235,252,252,252
2113,90.6624,0,1415,Boston,MA,5252,926,0.60377,78.456,42.365398,-71.055001,Suffolk,165,155,194,269,98,141,380,120,48,570,534,235,252,252,252
2114,98.59532,1,238,Boston,MA,9223,1570,0.7073621,137.7975,42.362097,-71.023661,Suffolk,165,155,194,269,98,141,380,120,48,570,534,235,252,252,252
2115,83.12774,0,2494,Boston,MA,11071,2268,0.6004878,52.45961,42.342043,-71.096848,Suffolk,165,155,194,269,98,141,380,120,48,570,534,235,252,252,252
2116,98.2205,1,309,Boston,MA,14520,3085,0.696281,130.5678,42.347207,-71.086095,Suffolk,165,155,194,269,98,141,380,120,48,570,534,235,252,252,252
2118,65.5435,0,5215,Boston,MA,16290,3343,0.4392879,43.34302,42.336162,-71.072854,Suffolk,165,155,194,269,98,141,380,120,48,570,534,235,252,252,252
2119,14.22147,0,18577,Boston,MA,14240,5528,0.1492978,40.07271,42.323077,-71.084608,Suffolk,165,155,194,269,98,141,380,120,48,570,534,235,252,252,252
2120,44.56377,0,9473,Boston,MA,5796,1998,0.3217736,36.91224,42.332484,-71.096416,Suffolk,165,155,194,269,98,141,380,120,48,570,534,235,252,252,252
2121,8.316151,0,20895,Boston,MA,13891,6090,0.1223814,37.57389,42.307098,-71.081645,Suffolk,165,155,194,269,98,141,380,120,48,570,534,235,252,252,252
2122,34.99115,0,11823,Boston,MA,14836,5268,0.1769345,53.44684,42.29658,-71.055215,Suffolk,165,155,194,269,98,141,380,120,48,570,534,235,252,252,252
2124,30.23862,0,13237,Boston,MA,30470,12098,0.173679,49.95424,42.286784,-71.071045,Suffolk,165,155,194,269,98,141,380,120,48,570,534,235,252,252,252
2125,30.57173,0,13117,Boston,MA,20446,7286,0.1907464,47.32858,42.31476,-71.067244,Suffolk,165,155,194,269,98,141,380,120,48,570,534,235,252,252,252
2127,58.20771,0,6531,Boston,MA,21510,6267,0.2758252,60.94462,42.329023,-71.020343,Suffolk,165,155,194,269,98,141,380,120,48,570,534,235,252,252,252
2128,13.8328,0,18718,Boston,MA,24819,8768,0.1043958,47.43973,42.364197,-71.025694,Suffolk,165,155,194,269,98,141,380,120,48,570,534,235,252,252,252
2138,97.97018,1,347,Cambridge,MA,21761,5631,0.7923809,110.334,42.380442,-71.132947,Middlesex,165,155,366,269,98,128,385,120,48,566,443,134,128,92.5,128
2139,88.00108,0,1787,Cambridge,MA,22304,5815,0.6274211,63.56113,42.365146,-71.101842,Middlesex,165,155,366,269,98,128,385,120,48,566,443,134,128,92.5,128
2140,90.56548,0,1430,Cambridge,MA,12455,3577,0.6085106,76.89865,42.393246,-71.133833,Middlesex,165,155,366,269,98,128,385,120,48,566,443,134,128,92.5,128
2141,70.12657,0,4478,Cambridge,MA,8628,2552,0.3858368,60.45296,42.368673,-71.083596,Middlesex,165,155,366,269,98,128,385,120,48,566,443,134,128,92.5,128
2142,97.35107,1,434,Cambridge,MA,1183,369,0.8926458,83.55172,42.36284,-71.084814,Middlesex,165,155,366,269,98,128,385,120,48,566,443,134,128,92.5,128
2143,80.51662,0,2891,Somerville,MA,18508,4641,0.4599092,69.60093,42.38092,-71.098896,Middlesex,165,155,366,269,98,128,376,120,48,515,346,134,128,92.5,128
